"","Product","Price","x5StarReviews","x4StarReviews","x3StarReviews","x2StarReviews","x1StarReviews","X.Positive.Service.Review.","NegativeServiceReview","WouldConsumerRecommendProduct","BestSellersRank","ShippingWeightLbs","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume"
"Product",1,-0.044034303369683,0.173166238928115,0.116707047060873,0.0869243006469456,-0.00845199831673598,-0.0652255973031358,-0.0295916666128012,-0.0174182173227161,0.0174221838579959,0.0462278322203299,0.0724429633650016,0.0296579486246869,0.115653927441896,-0.0639537896127221,0.0991193726864208,0.173166238928115
"Price",-0.044034303369683,1,-0.137597986979989,-0.169384154440593,-0.155230741550537,-0.115457398393096,-0.0864202467933133,-0.142843526039664,-0.0588848297613491,0.0854240801992037,0.157882099684979,0.415269589299638,0.00385363285599215,0.389499282772251,0.291284348218751,0.181391866365667,-0.137597986979989
"x5StarReviews",0.173166238928115,-0.137597986979989,1,0.892046061238324,0.777141942786203,0.499472536991313,0.260840189480925,0.753348610587584,0.307267300597359,0.148405299518678,-0.0874973602748131,-0.171260172790849,0.0811864846558523,-0.112801339881127,-0.135667219802401,-0.112936715458355,1
"x4StarReviews",0.116707047060873,-0.169384154440593,0.892046061238324,1,0.937012584968295,0.677711029866663,0.443809577038875,0.715260953779276,0.536779337117187,0.0884783490750821,-0.163052088744903,-0.210544756088949,-0.0395989528911814,-0.0229932592965542,-0.106862740266696,-0.144126221738494,0.892046061238324
"x3StarReviews",0.0869243006469456,-0.155230741550537,0.777141942786203,0.937012584968295,1,0.860794357279003,0.67876166819913,0.636372119497909,0.688860800647711,-0.0412455819171156,-0.128892293027154,-0.189121297626524,-0.0587919302899466,-0.0464326708028135,-0.0913625630519094,-0.111465323492303,0.777141942786203
"x2StarReviews",-0.00845199831673598,-0.115457398393096,0.499472536991313,0.677711029866663,0.860794357279003,1,0.952378132603137,0.491090928739766,0.870569673295732,-0.18614997363774,-0.0870096980342698,-0.146045838554555,-0.0526331792387689,-0.0987457788493461,-0.0360658403886341,-0.0558554119580725,0.499472536991313
"x1StarReviews",-0.0652255973031358,-0.0864202467933133,0.260840189480925,0.443809577038875,0.67876166819913,0.952378132603137,1,0.308499424572664,0.887490436614453,-0.244433706914839,-0.0529582533090042,-0.105068145652752,-0.039869436046017,-0.122874556213315,-0.00855133512070642,-0.00843764361581199,0.260840189480925
"X.Positive.Service.Review.",-0.0295916666128012,-0.142843526039664,0.753348610587584,0.715260953779276,0.636372119497909,0.491090928739766,0.308499424572664,1,0.326853111486562,0.0932630048319463,-0.117310391563839,-0.192966501672545,0.0510567338587745,-0.139865880422812,-0.173027873899309,-0.0433008736208959,0.753348610587584
"NegativeServiceReview",-0.0174182173227161,-0.0588848297613491,0.307267300597359,0.536779337117187,0.688860800647711,0.870569673295732,0.887490436614453,0.326853111486562,1,-0.204144895451201,-0.103648962893205,-0.106391814354786,-0.0630052373787596,-0.089351153924829,-0.0102138424387499,0.022070643624807,0.307267300597359
"WouldConsumerRecommendProduct",0.0174221838579959,0.0854240801992037,0.148405299518678,0.0884783490750821,-0.0412455819171156,-0.18614997363774,-0.244433706914839,0.0932630048319463,-0.204144895451201,1,-0.211979063527642,-0.0826031467713625,0.126721614910606,0.108867851305245,0.0274858646613069,-0.0890566625599214,0.148405299518678
"BestSellersRank",0.0462278322203299,0.157882099684979,-0.0874973602748131,-0.163052088744903,-0.128892293027154,-0.0870096980342698,-0.0529582533090042,-0.117310391563839,-0.103648962893205,-0.211979063527642,1,0.0148211108570657,-0.0851173755112053,-0.0577168672898209,-0.102374578546746,0.165420689934603,-0.0874973602748131
"ShippingWeightLbs",0.0724429633650016,0.415269589299638,-0.171260172790849,-0.210544756088949,-0.189121297626524,-0.146045838554555,-0.105068145652752,-0.192966501672545,-0.106391814354786,-0.0826031467713625,0.0148211108570657,1,0.0417647040656857,0.680134328639312,0.685949033129382,0.0653367311621332,-0.171260172790849
"ProductDepth",0.0296579486246869,0.00385363285599215,0.0811864846558523,-0.0395989528911814,-0.0587919302899466,-0.0526331792387689,-0.039869436046017,0.0510567338587745,-0.0630052373787596,0.126721614910606,-0.0851173755112053,0.0417647040656857,1,-0.0561682430843587,-0.0115097925140615,-0.16403033091391,0.0811864846558523
"ProductWidth",0.115653927441896,0.389499282772251,-0.112801339881127,-0.0229932592965542,-0.0464326708028135,-0.0987457788493461,-0.122874556213315,-0.139865880422812,-0.089351153924829,0.108867851305245,-0.0577168672898209,0.680134328639312,-0.0561682430843587,1,0.519827865393411,-0.0801751936669698,-0.112801339881127
"ProductHeight",-0.0639537896127221,0.291284348218751,-0.135667219802401,-0.106862740266696,-0.0913625630519094,-0.0360658403886341,-0.00855133512070642,-0.173027873899309,-0.0102138424387499,0.0274858646613069,-0.102374578546746,0.685949033129382,-0.0115097925140615,0.519827865393411,1,-0.141148725811162,-0.135667219802401
"ProfitMargin",0.0991193726864208,0.181391866365667,-0.112936715458355,-0.144126221738494,-0.111465323492303,-0.0558554119580725,-0.00843764361581199,-0.0433008736208959,0.022070643624807,-0.0890566625599214,0.165420689934603,0.0653367311621332,-0.16403033091391,-0.0801751936669698,-0.141148725811162,1,-0.112936715458355
"Volume",0.173166238928115,-0.137597986979989,1,0.892046061238324,0.777141942786203,0.499472536991313,0.260840189480925,0.753348610587584,0.307267300597359,0.148405299518678,-0.0874973602748131,-0.171260172790849,0.0811864846558523,-0.112801339881127,-0.135667219802401,-0.112936715458355,1
